order_details_id,order_code,hotel_id,hotel_name,room_id,room_name,type_room_id,price_room,hotel_fee,created_at,updated_at
31,MYHOTEL2607,3,Mường Thanh Luxury,5,Phòng Premier Deluxe Twin,3,1500000.0,100000.0,2024-05-05 12:56:02,nan
32,MYHOTEL2538,2,Meliá Vinpearl Riverfront,6,Deluxe Room,7,2350144.8,235014.48,2024-05-05 13:13:33,nan
33,MYHOTEL7530,20,Khách Sạn Eden Ocean View,59,Premium Sea Side Twin,154,7833816.0,0.0,2024-05-06 08:33:38,nan
34,MYHOTEL432,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,4150000.0,0.0,2024-05-06 10:05:11,nan
51,MYHOTEL8735,3,Mường Thanh Luxury,2,Phòng Grand Suite,1,2418680.0,100000.0,2024-05-21 17:03:33,nan
52,MYHOTEL9671,5,The Nalod,13,Phòng Premier Deluxe Twin,29,4419295.2,100000.0,2024-06-04 11:33:55,2024-06-16 15:35:56
57,MYHOTEL8696,5,The Nalod,12,Phòng Deluxe King,26,2616960.0,100000.0,2024-06-04 12:11:19,2024-06-16 15:36:08
58,MYHOTEL9000,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,2075000.0,0.0,2024-06-04 12:41:11,nan
59,MYHOTEL2930,3,Mường Thanh Luxury,5,Phòng Premier Deluxe Twin,3,7500000.0,100000.0,2024-06-04 12:54:36,nan
60,MYHOTEL9254,15,Four Points by Sheraton,42,Superior King Ocean View,110,6137877.2,0.0,2024-10-05 03:41:28,nan
61,MYHOTEL7890,4,Sheraton Grand Resort,9,Phòng Deluxe King,18,1798198.2018,178199.8218,2024-11-05 15:59:26,nan
62,MYHOTEL3596,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000.0,280500.0,2024-11-05 16:00:40,nan
63,MYHOTEL3023,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000.0,280500.0,2024-11-05 16:02:03,nan
