room_id,hotel_id,room_name,room_amount_of_people,room_acreage,room_view,room_status,created_at,updated_at,deleted_at
2,3,Phòng Grand Suite,2,45,Hướng Sông,1,2022-11-06 16:58:38,2022-11-11 16:19:02,nan
3,3,Phòng Deluxe King,2,45,Hướng Thành Phố Và Sông,1,2022-11-06 17:37:43,2022-11-11 16:19:05,nan
4,3,Phòng Deluxe King,2,45,Hướng Thành Phố Và Sông,1,2022-11-06 17:38:54,2022-11-06 17:39:00,2022-11-06 10:39:00
5,3,Phòng Premier Deluxe Twin,2,45,Hướng Sông,1,2022-11-06 17:39:28,nan,nan
6,2,Deluxe Room,2,41,Hướng Thành Phố,1,2022-11-12 13:36:50,nan,nan
7,2,Deluxe Room Horizon View,2,42,Hướng Thành Phố,1,2022-11-12 13:37:26,nan,nan
8,2,Grand Premium Room,2,42,Hướng Sông,1,2022-11-12 13:37:45,nan,nan
9,4,Phòng Deluxe King,1,45,Hướng Sông,1,2022-11-12 13:44:38,nan,nan
10,4,Phòng Premier Deluxe Twin,2,42,Hướng Sông,1,2022-11-12 13:44:48,nan,nan
11,4,Deluxe Room,3,45,Hướng Thành Phố,1,2022-11-12 13:44:57,nan,nan
12,5,Phòng Deluxe King,1,45,Hướng Sông,1,2022-11-12 13:48:49,nan,nan
13,5,Phòng Premier Deluxe Twin,2,42,Hướng Sông,1,2022-11-12 13:48:57,nan,nan
14,5,Phòng Deluxe Twin,3,45,Hướng Thành Phố,1,2022-11-12 13:49:07,nan,nan
15,6,Superior City View Twin,2,32,Hướng Thành Phố,1,2022-12-23 08:29:54,nan,nan
16,6,Superior City View Queen Bed,2,45,Hướng Thành Phố Và Sông,1,2022-12-23 08:31:27,nan,nan
17,6,Superior Ocean View Twin,2,42,Hướng Thành Phố,1,2022-12-23 08:31:50,nan,nan
18,7,Deluxe Twin Room,2,28,Hướng Sông,1,2022-12-23 08:44:29,nan,nan
19,7,Deluxe Double City View,2,28,Hướng Thành Phố,1,2022-12-23 08:44:57,nan,nan
20,7,Premium Ocean View,2,30,Hướng Thành Phố Và Sông,1,2022-12-23 08:45:19,nan,nan
21,8,Superior Twin,2,30,Hướng Sông,1,2022-12-23 09:04:27,nan,nan
22,8,Deluxe Twin,2,28,Hướng Sông,1,2022-12-23 09:04:42,nan,nan
23,8,Suite Double,2,30,Hướng Thành Phố Và Sông,1,2022-12-23 09:04:56,nan,nan
24,9,Deluxe Double Panoramic Ocean View,2,70,Hướng Sông,1,2022-12-23 09:25:34,nan,nan
25,9,Deluxe Twin Panoramic Ocean View,2,70,Hướng Sông,1,2022-12-23 09:25:52,nan,nan
26,9,Premium Deluxe Double Panoramic Ocean View,2,70,Hướng Thành Phố Và Sông,1,2022-12-23 09:26:03,nan,nan
27,10,"Deluxe Ocean Twin, Ban Công, Hướng Biển",2,42,Hướng Sông,1,2022-12-23 18:24:45,nan,nan
28,10,"Deluxe Ocean Double, Ban Công, Hướng Biển",2,42,Hướng Thành Phố,1,2022-12-23 18:25:01,nan,nan
29,10,"Premier Oceanfront Twin, Trực Diện Biển, Tầng cao, Ban Công",2,45,Hướng Thành Phố Và Sông,1,2022-12-23 18:25:21,2024-11-12 16:56:59,nan
