gallery_hotel_id,hotel_id,gallery_hotel_name,gallery_hotel_type,gallery_hotel_image,gallery_hotel_content,created_at,updated_at
4,2,9B54DXB0GS_VPCRFDN_Facade2,1,35180_4YFAIH6OG5_VPCRFDN_Pool148.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,2022-11-05 10:29:28
5,2,35180_AESHFLUMK7_VPCRFDN_Lobby4,1,35180_AESHFLUMK7_VPCRFDN_Lobby429.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
6,2,35180_CVU7TYMVJ7_VPCRFDN_Lobby8,1,35180_CVU7TYMVJ7_VPCRFDN_Lobby811.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
7,2,35180_GTBQTXHE3C_VPCRFDN_Yoga2,1,35180_GTBQTXHE3C_VPCRFDN_Yoga291.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
8,2,35180_HCH9GIZ0QK_VPCRFDN_Facade1,1,35180_HCH9GIZ0QK_VPCRFDN_Facade125.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
9,2,35180_LKLH41D98X_VPCRFDN_Facade13,1,35180_LKLH41D98X_VPCRFDN_Facade1317.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
10,2,35180_SX9ZZ577PA_VPCRFDN_Facade9,1,35180_SX9ZZ577PA_VPCRFDN_Facade985.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
11,2,35180_U0CPD869LF_VPCRFDN_Landscape5,1,35180_U0CPD869LF_VPCRFDN_Landscape582.jpg,Ảnh này chưa có nội dung !,2022-11-04 16:49:19,NULL
16,2,35180_MYTOUR,2,35180_MYTOUR9.mp4,Chưa có nội dung !,2022-11-05 10:54:07,NULL
17,3,35180_2EJLPA5OE8_VPCRFDN_Lobby1,1,35180_2EJLPA5OE8_VPCRFDN_Lobby191.jpg,Chưa có nội dung !,2022-11-05 14:51:59,NULL
18,3,35180_4YFAIH6OG5_VPCRFDN_Pool1,1,35180_4YFAIH6OG5_VPCRFDN_Pool110.jpg,Chưa có nội dung !,2022-11-05 14:51:59,NULL
19,3,35180_7LZ992QP52_VPCRFDN_Lifestyle32,1,35180_7LZ992QP52_VPCRFDN_Lifestyle3275.jpg,Chưa có nội dung !,2022-11-05 14:51:59,NULL
20,3,35180_9B54DXB0GS_VPCRFDN_Facade2,1,35180_9B54DXB0GS_VPCRFDN_Facade241.jpg,Chưa có nội dung !,2022-11-05 14:51:59,NULL
