gallery_room_id,room_id,gallery_room_name,gallery_room_image,gallery_room_content,created_at,deleted_at
20,2,45623_8232G1LMQV_GRAND-SUITE-(3),45623_8232G1LMQV_GRAND-SUITE-(3)8.jpg,Chưa có nội dung !,2022-11-09 16:19:33,NULL
21,2,45623_VISFP2PBM1_GRAND-SUITE-(2),45623_VISFP2PBM1_GRAND-SUITE-(2)54.jpg,Chưa có nội dung !,2022-11-09 16:19:33,NULL
22,2,45623_YGMOPRD9SF_GRAND-SUITE-(4),45623_YGMOPRD9SF_GRAND-SUITE-(4)33.jpg,Chưa có nội dung !,2022-11-09 16:19:33,NULL
23,2,photos_BA2DC9R8V5__tmp_playtemp8065542705427177172_multipartBody8263703920278520742asTemporaryFile,photos_BA2DC9R8V5__tmp_playtemp8065542705427177172_multipartBody8263703920278520742asTemporaryFile77.jfif,Chưa có nội dung !,2022-11-09 16:19:33,NULL
24,2,photos_V225UTDXAL__tmp_playtemp8065542705427177172_multipartBody2090914398915981361asTemporaryFile,photos_V225UTDXAL__tmp_playtemp8065542705427177172_multipartBody2090914398915981361asTemporaryFile98.jfif,Chưa có nội dung !,2022-11-09 16:19:33,NULL
25,2,photos_VFBCE6OVD9__tmp_playtemp8065542705427177172_multipartBody5015695692864059316asTemporaryFile,photos_VFBCE6OVD9__tmp_playtemp8065542705427177172_multipartBody5015695692864059316asTemporaryFile25.jfif,Chưa có nội dung !,2022-11-09 16:19:33,NULL
26,3,photos_2GZ4AKXHXP__tmp_playtemp8065542705427177172_multipartBody6124056577060166012asTemporaryFile,photos_2GZ4AKXHXP__tmp_playtemp8065542705427177172_multipartBody6124056577060166012asTemporaryFile24.jfif,Chưa có nội dung !,2022-11-09 16:19:47,NULL
27,3,photos_5U8KDRWWXJ__tmp_playtemp8065542705427177172_multipartBody5497779024820296510asTemporaryFile,photos_5U8KDRWWXJ__tmp_playtemp8065542705427177172_multipartBody5497779024820296510asTemporaryFile53.jfif,Chưa có nội dung !,2022-11-09 16:19:47,NULL
28,3,photos_6KC43QSMVF__tmp_playtemp8065542705427177172_multipartBody7432058694583193243asTemporaryFile,photos_6KC43QSMVF__tmp_playtemp8065542705427177172_multipartBody7432058694583193243asTemporaryFile52.jfif,Chưa có nội dung !,2022-11-09 16:19:47,NULL
29,3,photos_14HY44JHFI__tmp_playtemp8065542705427177172_multipartBody5756730443587435410asTemporaryFile,photos_14HY44JHFI__tmp_playtemp8065542705427177172_multipartBody5756730443587435410asTemporaryFile38.jfif,Chưa có nội dung !,2022-11-09 16:19:47,NULL
