manipulation_activity_id,manipulation_activity_admin_id,manipulation_activity_admin_name,manipulation_activity_customer_id,manipulation_activity_customer_name,manipulation_activity_type,manipulation_activity_action,manipulation_activity_ip,manipulation_activity_located,manipulation_activity_device,created_at
1,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 07:33:44
2,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 07:33:51
3,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 07:48:52
4,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 07:49:10
5,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 07:50:15
6,1,Quản Trị Viên,NULL,NULL,0,Xem Bảng Hoạt Động Đăng Nhập - Đăng Xuất Admin,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:01:48
7,1,Quản Trị Viên,NULL,NULL,0,Xem Bảng Hoạt Động Đăng Nhập - Đăng Xuất Người Dùng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:01:50
8,1,Quản Trị Viên,NULL,NULL,0,Xem Bảng Hoạt Động Đăng Nhập - Đăng Xuất Admin,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:01:51
9,1,Quản Trị Viên,NULL,NULL,0,Xem Bảng Nhật Ký Thao Tác Admin,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:14:55
10,1,Quản Trị Viên,NULL,NULL,0,Xem Bảng Nhật Ký Thao Tác Người Dùng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:14:57
11,1,Quản Trị Viên,NULL,NULL,0,Xem Bảng Nhật Ký Thao Tác Admin,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:14:59
12,1,Quản Trị Viên,NULL,NULL,0,Xenh Danh Sách Mã Giảm Giá ,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:20:33
13,1,Quản Trị Viên,NULL,NULL,0,Xenh Danh Sách Mã Giảm Giá ,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:20:38
14,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 08:21:10
15,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:43:30
16,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:43:33
17,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Slider Slider Sale,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:49:39
18,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:49:39
19,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Slider Slider Giới Thiệu Bạn Bè,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:13
