menu_item_id,restaurant_id,menu_item_name,menu_item_image,menu_item_description,menu_item_price,menu_item_status,created_at,updated_at
4,1,Thịt luộc mắm tôm,bepviet2071-copy-802834.jpg,Là sự hòa quyện của thịt luộc với mắm tôm,119000,1,2024-10-15 16:53:51,2024-10-15 16:53:51
5,1,Rau đảo phú quý,rau-tron-24114.jpg,Rau trộn được nhập từ đảo Phú Quý,109000,1,2024-10-15 16:54:34,2024-10-15 16:54:34
6,1,Cá kho tiêu,4318877543925966803532242640667737108045506n-565084.jpg,Cá chốt kho tiêu rất thơm,160000,1,2024-10-15 16:55:05,2024-10-15 16:55:05
7,1,Canh cua rau đay,bepviet2297-copy-72285.jpg,Canh cua được nấu với rau đay,130000,1,2024-10-15 16:55:38,2024-10-15 16:55:38
8,1,Canh chua cá bớp,bepviet1816-copy-614541.jpg,Canh chua được nấu với cá bớp thơm ngon,230000,1,2024-10-15 16:56:25,2024-10-15 16:56:25
9,1,Canh khổ qua,canh-kho-qua-524348.jpg,Canh khổ qua được nấu cùng thác lác,110000,1,2024-10-15 16:57:09,2024-10-15 16:57:09
10,1,Cà tím sốt thịt,bepviet2305-copy-536958.jpg,Cà tím được nấu cùng sốt thịt bằm,130000,1,2024-10-15 16:58:02,2024-10-15 16:58:02
11,1,Cá bớp kho tiêu,bepviet1959-copy-186251.jpg,Cá bớp kho thơm cùng tiêu,130000,1,2024-10-15 17:01:58,2024-10-15 17:01:58
12,4,Gỏi cuốn,Screenshot_16-10-2024_0336_danang25.jpeg,Gỏi chấm hòa quyện với nước mắm,60000,1,2024-10-15 17:35:31,2024-10-15 17:35:31
13,4,Cơm chiên,Screenshot_16-10-2024_0342_danang3.jpeg,Gỏi chấm hòa quyện với nước mắm,90000,1,2024-10-15 17:37:37,2024-10-15 17:37:37
14,4,Chả giò,Screenshot_16-10-2024_03136_danang8.jpeg,Chả giò giống với gỏi cuốn,85000,1,2024-10-15 17:38:19,2024-10-15 17:38:19
15,4,Chả lụi,Screenshot_16-10-2024_03250_danang69.jpeg,Giống với chả giò,130000,1,2024-10-15 17:38:48,2024-10-15 17:38:48
