order_id,start_day,end_day,orderer_id,payment_id,order_status,order_code,coupon_name_code,coupon_sale_price,total_price,created_at,updated_at,deleted_at,order_type,restaurant_id
31,05-05-2024,06-05-2024,31,33,2,MYHOTEL2607,HELLOVKU,304000,0,2024-05-05 12:56:02,2024-05-05 13:03:35,NULL,0,0
32,09-05-2024,11-05-2024,32,34,-2,MYHOTEL2538,CHAODANANG,232664.3352,0,2024-05-05 13:13:33,2024-10-29 15:53:38,NULL,0,0
33,10-05-2024,16-05-2024,33,35,2,MYHOTEL7530,HELLOVKU,1488425.04,0,2024-05-06 08:33:38,2024-05-06 18:32:07,NULL,0,0
34,19-05-2024,21-05-2024,34,36,0,MYHOTEL432,HELLOVKU,788500,0,2024-05-06 10:05:11,2024-05-06 15:19:01,NULL,0,0
49,12-05-2024,14-05-2024,49,51,0,MYHOTEL6269,CHAODANANG,2318680,0,2024-05-12 15:22:50,NULL,NULL,0,0
50,12-05-2024,14-05-2024,50,52,0,MYHOTEL7419,HELLOVKU,484120,0,2024-05-12 15:47:42,NULL,NULL,0,0
51,24-05-2024,26-05-2024,51,53,-2,MYHOTEL8735,CHAODANANG,229320,0,2024-05-21 17:03:33,2024-10-29 15:44:30,NULL,0,0
52,07-06-2024,09-06-2024,52,54,-2,MYHOTEL9671,CHAODANANG,222199.2,0,2024-06-04 11:33:55,2024-06-04 11:53:22,NULL,0,0
57,07-06-2024,09-06-2024,57,59,0,MYHOTEL8696,Không có,0,0,2024-06-04 12:11:19,NULL,NULL,0,0
58,04-06-2024,05-06-2024,58,60,-2,MYHOTEL9000,HELLOVKU,394250,0,2024-06-04 12:41:11,2024-06-04 12:46:49,NULL,0,0
59,07-06-2024,12-06-2024,59,61,1,MYHOTEL2930,CHAODANANG,684000,0,2024-06-04 12:54:36,2024-06-04 12:59:09,NULL,0,0
60,05-10-2024,07-10-2024,60,62,0,MYHOTEL9254,CHAODANANG,607042.8,0,2024-10-05 03:41:28,NULL,NULL,0,0
61,2024-10-29 17:15:00.000,NULL,64,67,0,MYHOTEL+20241028151241,NULL,NULL,235000,2024-10-28 15:12:41,2024-10-30 15:12:23,NULL,1,4
62,2024-10-29 17:15:00.000,NULL,65,68,0,MYHOTEL20241028151302,NULL,NULL,235000,2024-10-28 15:13:02,2024-10-30 15:12:21,NULL,1,4
63,2024-10-29 14:45:00.000,NULL,66,69,0,MYHOTEL20241028154834,NULL,NULL,340000,2024-10-28 15:48:34,2024-10-30 15:12:19,NULL,1,4
64,2024-10-29 14:45:00.000,NULL,67,70,-2,MYHOTEL20241028154853,NULL,NULL,340000,2024-10-28 15:48:53,2024-11-12 16:09:10,NULL,1,4
65,2024-10-29 14:45:00.000,NULL,68,71,0,MYHOTEL20241028154947,NULL,NULL,340000,2024-10-28 15:49:47,2024-10-30 15:12:15,NULL,1,4
66,2024-10-29 14:45:00.000,NULL,69,72,0,MYHOTEL20241028155620,NULL,NULL,340000,2024-10-28 15:56:20,2024-10-30 15:12:13,NULL,1,4
67,2024-10-29 17:00:00.000,NULL,70,73,0,MYHOTEL20241028160041,NULL,NULL,340000,2024-10-28 16:00:41,2024-10-30 15:12:10,NULL,1,4
68,2024-10-29 17:00:00.000,NULL,71,74,0,MYHOTEL20241028160238,NULL,NULL,340000,2024-10-28 16:02:38,2024-10-30 15:12:08,NULL,1,4
69,2024-10-29 17:00:00.000,NULL,72,75,0,MYHOTEL20241028160300,NULL,NULL,340000,2024-10-28 16:03:00,2024-10-30 15:12:05,NULL,1,4
70,2024-10-29 17:00:00.000,NULL,73,76,0,MYHOTEL20241028160336,NULL,NULL,340000,2024-10-28 16:03:36,2024-10-30 15:11:57,NULL,1,4
71,2024-10-29 17:00:00.000,NULL,74,77,0,MYHOTEL20241028160349,NULL,NULL,340000,2024-10-28 16:03:50,2024-10-30 15:11:56,NULL,1,4
72,2024-10-29 14:00:00.000,NULL,75,78,0,MYHOTEL20241028161603,NULL,NULL,570000,2024-10-28 16:16:03,2024-10-30 15:11:54,NULL,1,4
73,2024-10-29 14:00:00.000,NULL,76,79,0,MYHOTEL20241028161701,NULL,NULL,570000,2024-10-28 16:17:01,2024-10-30 15:11:52,NULL,1,4
74,2024-10-29 14:00:00.000,NULL,77,80,0,MYHOTEL20241028161735,NULL,NULL,570000,2024-10-28 16:17:35,2024-10-30 15:11:50,NULL,1,4
75,2024-10-29 14:00:00.000,NULL,78,81,0,MYHOTEL20241028161957,NULL,NULL,570000,2024-10-28 16:19:57,2024-10-30 15:11:49,NULL,1,4
76,2024-10-29 14:00:00.000,NULL,79,82,0,MYHOTEL20241028162020,NULL,NULL,570000,2024-10-28 16:20:20,2024-10-30 15:11:47,NULL,1,4
77,2024-10-29 14:00:00.000,NULL,80,83,0,MYHOTEL20241028162052,NULL,NULL,570000,2024-10-28 16:20:52,2024-10-30 15:11:44,NULL,1,4
78,2024-10-29 14:00:00.000,NULL,81,84,0,MYHOTEL20241028162109,NULL,NULL,570000,2024-10-28 16:21:09,2024-10-30 15:11:42,NULL,1,4
79,2024-10-29 15:00:00.000,NULL,82,85,0,MYHOTEL20241028162339,NULL,NULL,235000,2024-10-28 16:23:39,2024-10-30 15:11:41,NULL,1,4
80,2024-10-29 15:00:00.000,NULL,83,86,0,MYHOTEL20241028162708,NULL,NULL,235000,2024-10-28 16:27:08,2024-10-30 15:11:39,NULL,1,4
