order_details_id,order_code,hotel_id,hotel_name,room_id,room_name,type_room_id,price_room,hotel_fee,created_at,updated_at
31,MYHOTEL2607,3,Mường Thanh Luxury,5,Phòng Premier Deluxe Twin,3,1500000,100000,2024-05-05 12:56:02,NULL
32,MYHOTEL2538,2,Meliá Vinpearl Riverfront,6,Deluxe Room,7,2350144.8,235014.48,2024-05-05 13:13:33,NULL
33,MYHOTEL7530,20,Khách Sạn Eden Ocean View,59,Premium Sea Side Twin,154,7833816,0,2024-05-06 08:33:38,NULL
34,MYHOTEL432,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,4150000,0,2024-05-06 10:05:11,NULL
51,MYHOTEL8735,3,Mường Thanh Luxury,2,Phòng Grand Suite,1,2418680,100000,2024-05-21 17:03:33,NULL
52,MYHOTEL9671,5,The Nalod,13,Phòng Premier Deluxe Twin,29,4419295.2,100000,2024-06-04 11:33:55,2024-06-16 15:35:56
57,MYHOTEL8696,5,The Nalod,12,Phòng Deluxe King,26,2616960,100000,2024-06-04 12:11:19,2024-06-16 15:36:08
58,MYHOTEL9000,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,2075000,0,2024-06-04 12:41:11,NULL
59,MYHOTEL2930,3,Mường Thanh Luxury,5,Phòng Premier Deluxe Twin,3,7500000,100000,2024-06-04 12:54:36,NULL
60,MYHOTEL9254,15,Four Points by Sheraton,42,Superior King Ocean View,110,6137877.2,0,2024-10-05 03:41:28,NULL
61,MYHOTEL7890,4,Sheraton Grand Resort,9,Phòng Deluxe King,18,1798198.2018,178199.8218,2024-11-05 15:59:26,NULL
62,MYHOTEL3596,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:00:40,NULL
63,MYHOTEL3023,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:02:03,NULL
64,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:02:57,NULL
65,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:05:01,NULL
66,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:06:09,NULL
67,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:06:27,NULL
68,MYHOTEL6507,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:06:40,NULL
69,MYHOTEL2476,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-05 16:07:30,NULL
70,MYHOTEL8600,10,Le Sands Oceanfront,29,"Premier Oceanfront Twin, Trực Diện Biển, Tầng cao, Ban Công",79,3055064,0,2024-11-12 16:50:59,NULL
71,MYHOTEL9028,21,Risemount Premier Resort ,62,Superior Twin Room,161,2114100,0,2024-11-12 17:27:02,NULL
72,MYHOTEL2877,21,Risemount Premier Resort ,62,Superior Twin Room,161,1057050,0,2024-11-12 17:28:31,NULL
73,MYHOTEL4520,21,Risemount Premier Resort ,62,Superior Twin Room,161,1057050,0,2024-11-12 17:29:15,NULL
74,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000,280500,2024-11-12 17:31:36,NULL
75,MYHOTEL9454,21,Risemount Premier Resort ,62,Superior Twin Room,161,1057050,0,2024-11-12 17:33:17,NULL
76,MYHOTEL9331,4,Sheraton Grand Resort,9,Phòng Deluxe King,17,1484100,168300,2024-11-13 00:52:18,NULL
77,MYHOTEL2397,10,Le Sands Oceanfront,27,"Deluxe Ocean Twin, Ban Công, Hướng Biển",75,4084080,0,2024-11-14 17:41:24,NULL
78,MYHOTEL3769,21,Risemount Premier Resort ,60,Superior King Room,156,3563560,0,2024-11-14 17:42:50,NULL
79,MYHOTEL2319,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2830500,280500,2024-11-14 18:21:55,NULL
80,MYHOTEL3100,4,Sheraton Grand Resort,9,Phòng Deluxe King,18,1652398.3476,178199.8218,2024-11-15 04:25:43,NULL
100,MYHOTEL1621,17,Đà Nẵng Golden Bay,48,Superior Twin/King,125,2300000,200000,2024-08-06 17:00:00,NULL
101,MYHOTEL9921,21,Risemount Premier Resort,60,Superior King Room,156,2200000,100000,2024-08-05 17:00:00,NULL
102,MYHOTEL7627,2,Meliá Vinpearl Riverfront,2,Phòng Grand Suite,1,1400000,200000,2024-10-22 17:00:00,NULL
103,MYHOTEL4203,5,The Nalod,12,Phòng Deluxe King,27,1500000,150000,2024-10-21 17:00:00,NULL
104,MYHOTEL9634,2,Meliá Vinpearl Riverfront,2,Phòng Grand Suite,1,1400000,100000,2024-08-18 17:00:00,NULL
105,MYHOTEL3617,16,Khách sạn Mandila Beach,45,Deluxe Twin,117,1703000,150000,2024-04-05 17:00:00,NULL
106,MYHOTEL9636,5,The Nalod,12,Phòng Deluxe King,27,1500000,150000,2024-10-30 17:00:00,NULL
107,MYHOTEL1531,9,Mikazuki Japanese,24,Deluxe Double Panoramic,62,3450000,150000,2024-09-18 17:00:00,NULL
108,MYHOTEL5045,17,Đà Nẵng Golden Bay,48,Superior Twin/King,125,2300000,100000,2024-03-10 17:00:00,NULL
109,MYHOTEL7938,9,Mikazuki Japanese,24,Deluxe Double Panoramic,62,3450000,200000,2024-07-01 17:00:00,NULL
110,MYHOTEL3700,12,Khách Sạn Mỹ Khê 2,33,Superior I Double/Twin,87,2700000,0,2024-07-28 17:00:00,NULL
