order_details_id,order_code,restaurant_id,restaurant_menu_id,restaurant_menu_price,restaurant_menu_quantity,table_restaurant_price,created_at,updated_at
1,MYHOTEL+20241028151022,4,12,60000,1,NULL,2024-10-28 15:10:22,2024-10-28 15:10:22
2,MYHOTEL+20241028151022,4,13,90000,1,NULL,2024-10-28 15:10:22,2024-10-28 15:10:22
3,MYHOTEL+20241028151022,4,14,85000,1,NULL,2024-10-28 15:10:22,2024-10-28 15:10:22
4,MYHOTEL+20241028151101,4,12,60000,1,NULL,2024-10-28 15:11:01,2024-10-28 15:11:01
5,MYHOTEL+20241028151101,4,13,90000,1,NULL,2024-10-28 15:11:01,2024-10-28 15:11:01
6,MYHOTEL+20241028151101,4,14,85000,1,NULL,2024-10-28 15:11:01,2024-10-28 15:11:01
7,MYHOTEL+20241028151128,4,12,60000,1,NULL,2024-10-28 15:11:28,2024-10-28 15:11:28
8,MYHOTEL+20241028151128,4,13,90000,1,NULL,2024-10-28 15:11:28,2024-10-28 15:11:28
9,MYHOTEL+20241028151128,4,14,85000,1,NULL,2024-10-28 15:11:28,2024-10-28 15:11:28
10,MYHOTEL+20241028151204,4,12,60000,1,NULL,2024-10-28 15:12:04,2024-10-28 15:12:04
11,MYHOTEL+20241028151204,4,13,90000,1,NULL,2024-10-28 15:12:04,2024-10-28 15:12:04
12,MYHOTEL+20241028151204,4,14,85000,1,NULL,2024-10-28 15:12:04,2024-10-28 15:12:04
13,MYHOTEL+20241028151241,4,12,60000,1,NULL,2024-10-28 15:12:41,2024-10-28 15:12:41
14,MYHOTEL+20241028151241,4,13,90000,1,NULL,2024-10-28 15:12:41,2024-10-28 15:12:41
15,MYHOTEL+20241028151241,4,14,85000,1,NULL,2024-10-28 15:12:41,2024-10-28 15:12:41
16,MYHOTEL20241028151302,4,12,60000,1,NULL,2024-10-28 15:13:02,2024-10-28 15:13:02
17,MYHOTEL20241028151302,4,13,90000,1,NULL,2024-10-28 15:13:02,2024-10-28 15:13:02
18,MYHOTEL20241028151302,4,14,85000,1,NULL,2024-10-28 15:13:02,2024-10-28 15:13:02
19,MYHOTEL20241028154834,4,12,60000,1,NULL,2024-10-28 15:48:34,2024-10-28 15:48:34
20,MYHOTEL20241028154834,4,13,90000,1,NULL,2024-10-28 15:48:34,2024-10-28 15:48:34
21,MYHOTEL20241028154834,4,15,130000,1,NULL,2024-10-28 15:48:34,2024-10-28 15:48:34
22,MYHOTEL20241028154834,4,16,60000,1,NULL,2024-10-28 15:48:34,2024-10-28 15:48:34
23,MYHOTEL20241028154853,4,12,60000,1,NULL,2024-10-28 15:48:53,2024-10-28 15:48:53
24,MYHOTEL20241028154853,4,13,90000,1,NULL,2024-10-28 15:48:53,2024-10-28 15:48:53
