type_room_id,room_id,type_room_bed,type_room_price,type_room_condition,type_room_price_sale,type_room_quantity,type_room_status,created_at,updated_at,deleted_at
1,2,2,1400000,1,9,19,1,2022-11-10 17:17:24,2024-05-05 12:50:42,NULL
2,3,1,1500000,1,8,0,1,2022-11-10 17:19:55,2022-11-12 17:50:33,NULL
3,5,3,1500000,0,NULL,15,1,2022-11-10 17:20:15,2024-06-04 12:54:36,NULL
4,2,2,1500000,0,NULL,20,1,2022-11-12 08:47:51,2022-12-25 00:50:09,NULL
6,2,1,999999,1,8,20,1,2022-11-12 08:51:58,2022-12-25 00:50:16,NULL
7,6,1,1305636,1,10,18,1,2022-11-12 13:38:28,2024-05-05 13:13:33,NULL
8,6,2,1500000,0,NULL,20,1,2022-11-12 13:39:15,2022-12-24 13:00:30,NULL
9,7,1,1400000,1,7,0,1,2022-11-12 13:39:30,2022-11-12 13:42:02,NULL
10,6,3,1600000,1,8,0,1,2022-11-12 13:40:11,2022-11-12 13:40:33,NULL
11,7,2,1305636,0,NULL,0,1,2022-11-12 13:41:28,NULL,NULL
12,7,2,999999,1,8,0,1,2022-11-12 13:41:45,2022-11-12 13:41:54,NULL
13,8,1,1200000,0,NULL,0,1,2022-11-12 13:42:15,NULL,NULL
14,8,1,1200000,0,NULL,0,1,2022-11-12 13:42:15,NULL,NULL
15,8,2,1500000,1,12,0,1,2022-11-12 13:42:30,NULL,NULL
16,6,1,1100000,0,NULL,20,1,2022-11-12 13:43:42,2022-12-24 13:00:38,NULL
17,9,1,1530000,0,NULL,0,1,2022-11-12 13:45:14,2022-12-22 17:04:33,NULL
18,9,2,999999,1,19,0,1,2022-11-12 13:45:42,NULL,NULL
19,9,3,1500000,1,15,0,1,2022-11-12 13:45:58,NULL,NULL
20,10,1,1400000,0,NULL,0,1,2022-11-12 13:46:24,NULL,NULL
21,10,2,1200000,1,16,0,1,2022-11-12 13:46:40,NULL,NULL
22,10,3,1500000,1,13,0,1,2022-11-12 13:46:56,NULL,NULL
23,11,1,1500000,0,NULL,0,1,2022-11-12 13:47:12,NULL,NULL
24,11,2,1500000,1,17,0,1,2022-11-12 13:47:23,NULL,NULL
25,11,3,1305636,1,17,0,1,2022-11-12 13:47:41,NULL,NULL
26,12,1,800000,1,13,0,1,2022-11-12 13:49:15,2022-11-12 14:18:38,NULL
27,12,2,1500000,1,42,0,1,2022-11-12 13:49:34,NULL,NULL
28,12,3,1500000,1,23,0,1,2022-11-12 13:49:48,NULL,NULL
29,13,1,1234440,0,NULL,0,1,2022-11-12 13:50:06,NULL,NULL
30,13,2,1500000,1,24,0,1,2022-11-12 13:50:34,NULL,NULL
31,13,3,1200000,1,26,0,1,2022-11-12 13:50:51,NULL,NULL
32,14,1,1235555,0,NULL,0,1,2022-11-12 13:51:17,NULL,NULL
33,14,2,1200000,1,27,0,1,2022-11-12 13:51:33,NULL,NULL
34,14,3,1454533,1,21,0,1,2022-11-12 13:52:00,NULL,NULL
35,12,1,1200000,0,NULL,0,1,2022-11-12 15:11:28,2022-11-12 15:11:36,2022-11-12 08:11:36
36,12,1,1200000,0,NULL,0,1,2022-11-12 15:12:40,2022-11-12 15:12:44,2022-11-12 08:12:44
37,3,3,1600000,1,33,0,1,2022-11-13 00:48:29,NULL,NULL
38,3,3,1700000,1,9,0,1,2022-11-13 00:49:03,NULL,NULL
39,5,3,1700000,0,NULL,0,1,2022-11-13 00:49:15,NULL,NULL
40,5,3,1700000,1,17,19,1,2022-11-13 00:49:34,2024-05-05 12:38:04,NULL
42,2,3,1305636,1,10,20,1,2022-12-22 17:30:14,2022-12-22 17:40:38,NULL
43,15,3,1200000,1,13,19,1,2022-12-23 08:32:42,2022-12-24 15:39:37,NULL
44,15,1,1350000,0,NULL,20,1,2022-12-23 08:50:25,NULL,NULL
45,15,3,1700000,1,17,20,1,2022-12-23 08:50:42,NULL,NULL
46,16,2,1450000,0,NULL,30,1,2022-12-23 08:51:03,NULL,NULL
47,16,2,1700000,1,13,30,1,2022-12-23 08:51:22,NULL,NULL
48,16,3,1750000,0,NULL,20,1,2022-12-23 08:51:37,NULL,NULL
49,17,1,1100000,0,NULL,20,1,2022-12-23 08:51:52,NULL,NULL
50,17,2,1756000,1,12,20,1,2022-12-23 08:52:24,NULL,NULL
51,17,3,1705636,0,NULL,20,1,2022-12-23 08:52:39,NULL,NULL
52,21,2,1240000,0,NULL,20,1,2022-12-23 09:07:25,NULL,NULL
53,21,2,1700000,1,18,20,1,2022-12-23 09:07:39,NULL,NULL
54,21,3,1770000,0,NULL,20,1,2022-12-23 09:07:54,NULL,NULL
55,22,1,1280000,0,NULL,20,1,2022-12-23 09:08:10,NULL,NULL
56,22,2,1570000,1,9,20,1,2022-12-23 09:08:23,NULL,NULL
57,22,3,1790000,1,12,20,1,2022-12-23 09:08:39,NULL,NULL
58,23,1,1520000,0,NULL,20,1,2022-12-23 09:08:51,NULL,NULL
59,23,2,1560000,1,10,20,1,2022-12-23 09:09:05,NULL,NULL
60,23,3,1730000,1,9,20,1,2022-12-23 09:09:35,NULL,NULL
61,24,1,2300000,0,NULL,20,1,2022-12-23 09:28:19,NULL,NULL
62,24,2,3450000,1,21,20,1,2022-12-23 09:28:45,2022-12-23 12:45:47,NULL
63,24,3,5350000,1,19,20,1,2022-12-23 09:29:05,2022-12-23 12:45:42,NULL
64,25,1,2500000,0,NULL,20,1,2022-12-23 09:29:20,NULL,NULL
65,25,2,4500000,1,25,30,1,2022-12-23 09:29:37,NULL,NULL
66,25,3,5060300,1,19,20,1,2022-12-23 09:29:58,NULL,NULL
67,26,1,2700000,1,22,20,1,2022-12-23 09:30:15,NULL,NULL
68,26,2,3400040,1,34,20,1,2022-12-23 09:30:35,NULL,NULL
69,26,3,5400000,1,20,30,1,2022-12-23 09:30:54,NULL,NULL
70,20,3,4200000,1,13,20,1,2022-12-23 11:57:21,2022-12-23 17:06:32,NULL
71,20,3,4800000,1,9,30,1,2022-12-23 11:57:47,NULL,NULL
72,19,3,3500000,0,NULL,20,1,2022-12-23 11:58:05,NULL,NULL
73,18,2,1700000,1,9,20,1,2022-12-23 11:58:20,NULL,NULL
74,18,3,3400000,1,17,30,1,2022-12-23 11:58:40,NULL,NULL
75,27,1,3400000,1,34,20,1,2022-12-23 18:28:14,NULL,NULL
76,27,2,4305636,1,22,20,1,2022-12-23 18:28:35,NULL,NULL
77,28,1,5700000,1,26,20,1,2022-12-23 18:29:12,NULL,NULL
78,28,3,4500000,1,10,20,1,2022-12-23 18:29:35,NULL,NULL
79,29,2,4280000,1,17,20,1,2022-12-23 18:29:57,NULL,NULL
80,29,2,4200000,1,13,20,1,2022-12-23 18:30:14,NULL,NULL
81,30,2,3400000,1,34,20,1,2022-12-23 18:38:27,NULL,NULL
82,30,2,4500400,1,19,30,1,2022-12-23 18:38:53,NULL,NULL
83,31,1,2450000,1,23,20,1,2022-12-23 18:39:12,NULL,NULL
84,31,2,4507800,1,23,20,1,2022-12-23 18:39:34,NULL,NULL
85,32,1,2500000,0,NULL,19,1,2022-12-23 18:39:50,2022-12-24 12:00:55,NULL
86,32,2,4500000,1,12,20,1,2022-12-23 18:40:03,NULL,NULL
87,33,1,2700000,1,32,20,1,2022-12-23 18:49:22,NULL,NULL
88,33,2,4350000,1,32,30,1,2022-12-23 18:49:38,NULL,NULL
89,34,1,1500000,0,NULL,20,1,2022-12-23 18:49:51,NULL,NULL
90,34,2,3500000,1,24,20,1,2022-12-23 18:50:07,NULL,NULL
91,35,1,1600000,0,NULL,20,1,2022-12-23 18:50:22,NULL,NULL
92,34,2,4500000,1,22,20,1,2022-12-23 18:50:39,NULL,NULL
93,35,2,2200000,0,NULL,19,1,2022-12-23 18:50:53,2022-12-24 09:27:32,NULL
94,36,1,2500000,0,NULL,20,1,2022-12-23 18:58:06,NULL,NULL
95,36,2,4700000,1,10,20,1,2022-12-23 18:58:21,NULL,NULL
96,37,1,1500000,1,7,20,1,2022-12-23 18:58:34,NULL,NULL
97,37,2,4500000,1,13,20,1,2022-12-23 18:58:49,NULL,NULL
98,38,1,1500000,1,10,20,1,2022-12-23 18:59:03,NULL,NULL
99,38,2,2506000,1,8,20,1,2022-12-23 18:59:21,NULL,NULL
100,39,1,1400000,1,7,30,1,2022-12-23 19:07:57,NULL,NULL
101,39,2,4500000,1,17,20,1,2022-12-23 19:08:14,NULL,NULL
102,40,1,1400000,1,23,30,1,2022-12-23 19:08:28,NULL,NULL
103,40,2,1305636,1,7,20,1,2022-12-23 19:08:40,NULL,NULL
104,40,3,4305636,1,13,20,1,2022-12-23 19:08:54,NULL,NULL
105,41,1,1400000,0,NULL,20,1,2022-12-23 19:09:04,NULL,NULL
106,41,2,2500000,1,9,20,1,2022-12-23 19:09:19,NULL,NULL
107,41,1,2500000,1,10,20,1,2022-12-23 19:09:33,NULL,NULL
108,41,1,1305636,0,NULL,20,1,2022-12-23 19:09:48,NULL,NULL
109,42,1,1700000,1,13,20,1,2022-12-24 02:36:44,NULL,NULL
110,42,2,3706000,1,9,20,1,2022-12-24 02:37:03,NULL,NULL
